alg,AR_avg,AR_min,AR_min/max,AR_std,nDCG_avg,nDCG_min,nDCG_min/max,nDCG_std
mf_230_1.0_avg20_sim_group_2,0.459,0.4,0.786,0.058,0.741,0.689,0.872,0.052
mf_230_1.0_avg20_sim_group_2_weighted,0.433,0.293,0.53,0.141,0.701,0.489,0.553,0.212
mf_230_1.0_avg_sim_group_2_AVG_longterm,0.452,0.439,0.943,0.014,0.736,0.711,0.935,0.025
mf_230_1.0_avg_sim_group_2_FuzzyDHondtDirectOptimize_1.0,0.44,0.438,0.99,0.002,0.722,0.693,0.926,0.029
mf_230_1.0_avg_sim_group_2_FuzzyDHondtDirectOptimize_1.0_weighted,0.42,0.29,0.55,0.13,0.688,0.486,0.569,0.201
mf_230_1.0_avg_sim_group_2_FuzzyDHondtDirectOptimize_longterm,0.44,0.439,0.996,0.001,0.721,0.691,0.922,0.03
mf_230_1.0_avg_sim_group_2_FuzzyDHondt_longterm,0.455,0.444,0.954,0.011,0.741,0.72,0.946,0.021
mf_230_1.0_avg_sim_group_2_GFAR_1.0,0.413,0.394,0.912,0.019,0.674,0.659,0.956,0.015
mf_230_1.0_avg20_sim_group_3,0.399,0.338,0.741,0.054,0.635,0.567,0.811,0.057
mf_230_1.0_avg_sim_group_3_AVG_longterm,0.393,0.375,0.916,0.015,0.629,0.592,0.89,0.031
mf_230_1.0_avg_sim_group_3_FuzzyDHondtDirectOptimize_1.0,0.386,0.381,0.976,0.004,0.618,0.587,0.903,0.028
mf_230_1.0_avg_sim_group_3_FuzzyDHondtDirectOptimize_longterm,0.385,0.384,0.992,0.001,0.618,0.584,0.896,0.03
mf_230_1.0_avg_sim_group_3_FuzzyDHondt_longterm,0.395,0.379,0.927,0.013,0.632,0.602,0.909,0.026
mf_230_1.0_avg_sim_group_3_GFAR_1.0,0.337,0.312,0.869,0.021,0.551,0.514,0.878,0.031
mf_230_1.0_avg20_sim_group_8,0.294,0.208,0.555,0.054,0.457,0.333,0.594,0.073
mf_230_1.0_avg_sim_group_8_AVG_longterm,0.288,0.251,0.793,0.021,0.448,0.388,0.766,0.038
mf_230_1.0_avg_sim_group_8_FuzzyDHondtDirectOptimize_1.0,0.28,0.258,0.871,0.012,0.438,0.387,0.799,0.031
mf_230_1.0_avg_sim_group_8_FuzzyDHondtDirectOptimize_longterm,0.279,0.267,0.932,0.006,0.436,0.389,0.803,0.031
mf_230_1.0_avg_sim_group_8_FuzzyDHondt_longterm,0.289,0.256,0.805,0.02,0.451,0.396,0.787,0.035
mf_230_1.0_avg_sim_group_8_GFAR_1.0,0.247,0.188,0.622,0.036,0.392,0.287,0.59,0.064
mf_230_1.0_avg20_div_group_2,0.357,0.265,0.619,0.092,0.619,0.496,0.687,0.123
mf_230_1.0_avg_div_group_2_AVG_longterm,0.338,0.309,0.844,0.029,0.601,0.561,0.877,0.04
mf_230_1.0_avg_div_group_2_FuzzyDHondtDirectOptimize_1.0,0.33,0.328,0.984,0.003,0.592,0.552,0.878,0.04
mf_230_1.0_avg_div_group_2_FuzzyDHondtDirectOptimize_longterm,0.33,0.329,0.995,0.001,0.592,0.549,0.871,0.043
mf_230_1.0_avg_div_group_2_FuzzyDHondt_longterm,0.349,0.339,0.941,0.01,0.623,0.585,0.886,0.039
mf_230_1.0_avg_div_group_2_GFAR_1.0,0.329,0.302,0.852,0.027,0.583,0.561,0.927,0.022
mf_230_1.0_avg20_div_group_3,0.283,0.186,0.51,0.085,0.49,0.351,0.58,0.117
mf_230_1.0_avg_div_group_3_AVG_longterm,0.266,0.242,0.833,0.021,0.474,0.423,0.807,0.044
mf_230_1.0_avg_div_group_3_FuzzyDHondtDirectOptimize_1.0,0.261,0.257,0.97,0.003,0.468,0.424,0.825,0.04
mf_230_1.0_avg_div_group_3_FuzzyDHondtDirectOptimize_longterm,0.26,0.259,0.99,0.001,0.468,0.422,0.818,0.042
mf_230_1.0_avg_div_group_3_FuzzyDHondt_longterm,0.275,0.262,0.911,0.011,0.491,0.449,0.841,0.037
mf_230_1.0_avg_div_group_3_GFAR_1.0,0.247,0.213,0.772,0.028,0.437,0.398,0.843,0.033
mf_230_1.0_avg20_div_group_8,0.173,0.084,0.322,0.06,0.301,0.152,0.349,0.096
mf_230_1.0_avg_div_group_8_AVG_longterm,0.16,0.136,0.739,0.015,0.283,0.226,0.658,0.038
mf_230_1.0_avg_div_group_8_FuzzyDHondtDirectOptimize_1.0,0.157,0.146,0.862,0.007,0.28,0.233,0.703,0.031
mf_230_1.0_avg_div_group_8_FuzzyDHondtDirectOptimize_longterm,0.156,0.152,0.942,0.003,0.279,0.233,0.701,0.032
mf_230_1.0_avg_div_group_8_FuzzyDHondt_longterm,0.166,0.146,0.795,0.012,0.295,0.245,0.704,0.033
mf_230_1.0_avg_div_group_8_GFAR_1.0,0.131,0.091,0.534,0.026,0.237,0.15,0.461,0.059
