groupType,groupSize,metric,alg,mean,corr,MAE
sim,2,AR,mf_30_1.0_avg_sim_group_2_GFAR_1.0,2.438,-0.003,0.193
sim,2,AR,mf_30_1.0_avg_sim_group_2_pref_AVG,2.705,0.742,0.129
sim,2,AR,mf_30_1.0_avg_sim_group_2_pref_FuzzyDHondtDirectOptimize_1.0,2.546,0.913,0.063
sim,2,AR,mf_30_1.0_avg_sim_group_2_pref_FuzzyDHondt_1.0,2.734,0.768,0.135
sim,2,nDCG,mf_30_1.0_avg_sim_group_2_GFAR_1.0,0.748,0.003,0.19
sim,2,nDCG,mf_30_1.0_avg_sim_group_2_pref_AVG,0.807,0.888,0.114
sim,2,nDCG,mf_30_1.0_avg_sim_group_2_pref_FuzzyDHondtDirectOptimize_1.0,0.772,0.922,0.081
sim,2,nDCG,mf_30_1.0_avg_sim_group_2_pref_FuzzyDHondt_1.0,0.817,0.926,0.127
sim,3,AR,mf_30_1.0_avg_sim_group_3_GFAR_1.0,2.125,-0.027,0.15
sim,3,AR,mf_30_1.0_avg_sim_group_3_pref_AVG,2.43,0.716,0.103
sim,3,AR,mf_30_1.0_avg_sim_group_3_pref_FuzzyDHondtDirectOptimize_1.0,2.323,0.861,0.071
sim,3,AR,mf_30_1.0_avg_sim_group_3_pref_FuzzyDHondt_1.0,2.461,0.742,0.106
sim,3,nDCG,mf_30_1.0_avg_sim_group_3_GFAR_1.0,0.652,-0.001,0.148
sim,3,nDCG,mf_30_1.0_avg_sim_group_3_pref_AVG,0.716,0.862,0.09
sim,3,nDCG,mf_30_1.0_avg_sim_group_3_pref_FuzzyDHondtDirectOptimize_1.0,0.697,0.905,0.077
sim,3,nDCG,mf_30_1.0_avg_sim_group_3_pref_FuzzyDHondt_1.0,0.727,0.895,0.098
sim,4,AR,mf_30_1.0_avg_sim_group_4_GFAR_1.0,1.957,-0.028,0.117
sim,4,AR,mf_30_1.0_avg_sim_group_4_pref_AVG,2.263,0.68,0.082
sim,4,AR,mf_30_1.0_avg_sim_group_4_pref_FuzzyDHondtDirectOptimize_1.0,2.18,0.821,0.059
sim,4,AR,mf_30_1.0_avg_sim_group_4_pref_FuzzyDHondt_1.0,2.293,0.717,0.083
sim,4,nDCG,mf_30_1.0_avg_sim_group_4_GFAR_1.0,0.592,0.008,0.116
sim,4,nDCG,mf_30_1.0_avg_sim_group_4_pref_AVG,0.654,0.828,0.071
sim,4,nDCG,mf_30_1.0_avg_sim_group_4_pref_FuzzyDHondtDirectOptimize_1.0,0.642,0.877,0.063
sim,4,nDCG,mf_30_1.0_avg_sim_group_4_pref_FuzzyDHondt_1.0,0.665,0.868,0.076
sim,8,AR,mf_30_1.0_avg_sim_group_8_GFAR_1.0,1.705,0.018,0.062
sim,8,AR,mf_30_1.0_avg_sim_group_8_pref_AVG,1.923,0.613,0.045
sim,8,AR,mf_30_1.0_avg_sim_group_8_pref_FuzzyDHondtDirectOptimize_1.0,1.869,0.727,0.035
sim,8,AR,mf_30_1.0_avg_sim_group_8_pref_FuzzyDHondt_1.0,1.944,0.647,0.045
sim,8,nDCG,mf_30_1.0_avg_sim_group_8_GFAR_1.0,0.497,0.015,0.063
sim,8,nDCG,mf_30_1.0_avg_sim_group_8_pref_AVG,0.541,0.72,0.041
sim,8,nDCG,mf_30_1.0_avg_sim_group_8_pref_FuzzyDHondtDirectOptimize_1.0,0.534,0.775,0.038
sim,8,nDCG,mf_30_1.0_avg_sim_group_8_pref_FuzzyDHondt_1.0,0.549,0.748,0.043
div,2,AR,mf_30_1.0_avg_div_group_2_GFAR_1.0,2.004,-0.028,0.23
div,2,AR,mf_30_1.0_avg_div_group_2_pref_AVG,2.128,0.694,0.159
div,2,AR,mf_30_1.0_avg_div_group_2_pref_FuzzyDHondtDirectOptimize_1.0,1.975,0.936,0.048
div,2,AR,mf_30_1.0_avg_div_group_2_pref_FuzzyDHondt_1.0,2.148,0.743,0.132
div,2,nDCG,mf_30_1.0_avg_div_group_2_GFAR_1.0,0.663,-0.01,0.206
div,2,nDCG,mf_30_1.0_avg_div_group_2_pref_AVG,0.685,0.868,0.098
div,2,nDCG,mf_30_1.0_avg_div_group_2_pref_FuzzyDHondtDirectOptimize_1.0,0.679,0.918,0.081
div,2,nDCG,mf_30_1.0_avg_div_group_2_pref_FuzzyDHondt_1.0,0.71,0.966,0.09
div,3,AR,mf_30_1.0_avg_div_group_3_GFAR_1.0,1.688,-0.01,0.166
div,3,AR,mf_30_1.0_avg_div_group_3_pref_AVG,1.866,0.624,0.129
div,3,AR,mf_30_1.0_avg_div_group_3_pref_FuzzyDHondtDirectOptimize_1.0,1.751,0.838,0.064
div,3,AR,mf_30_1.0_avg_div_group_3_pref_FuzzyDHondt_1.0,1.882,0.671,0.108
div,3,nDCG,mf_30_1.0_avg_div_group_3_GFAR_1.0,0.561,0.017,0.151
div,3,nDCG,mf_30_1.0_avg_div_group_3_pref_AVG,0.593,0.806,0.087
div,3,nDCG,mf_30_1.0_avg_div_group_3_pref_FuzzyDHondtDirectOptimize_1.0,0.594,0.895,0.071
div,3,nDCG,mf_30_1.0_avg_div_group_3_pref_FuzzyDHondt_1.0,0.616,0.911,0.08
div,4,AR,mf_30_1.0_avg_div_group_4_GFAR_1.0,1.546,-0.022,0.127
div,4,AR,mf_30_1.0_avg_div_group_4_pref_AVG,1.747,0.556,0.104
div,4,AR,mf_30_1.0_avg_div_group_4_pref_FuzzyDHondtDirectOptimize_1.0,1.649,0.752,0.06
div,4,AR,mf_30_1.0_avg_div_group_4_pref_FuzzyDHondt_1.0,1.753,0.605,0.088
div,4,nDCG,mf_30_1.0_avg_div_group_4_GFAR_1.0,0.514,0.007,0.117
div,4,nDCG,mf_30_1.0_avg_div_group_4_pref_AVG,0.551,0.747,0.073
div,4,nDCG,mf_30_1.0_avg_div_group_4_pref_FuzzyDHondtDirectOptimize_1.0,0.552,0.858,0.061
div,4,nDCG,mf_30_1.0_avg_div_group_4_pref_FuzzyDHondt_1.0,0.57,0.858,0.068
div,8,AR,mf_30_1.0_avg_div_group_8_GFAR_1.0,1.387,-0.019,0.068
div,8,AR,mf_30_1.0_avg_div_group_8_pref_AVG,1.526,0.471,0.056
div,8,AR,mf_30_1.0_avg_div_group_8_pref_FuzzyDHondtDirectOptimize_1.0,1.466,0.581,0.04
div,8,AR,mf_30_1.0_avg_div_group_8_pref_FuzzyDHondt_1.0,1.528,0.497,0.05
div,8,nDCG,mf_30_1.0_avg_div_group_8_GFAR_1.0,0.449,-0.026,0.066
div,8,nDCG,mf_30_1.0_avg_div_group_8_pref_AVG,0.471,0.624,0.044
div,8,nDCG,mf_30_1.0_avg_div_group_8_pref_FuzzyDHondtDirectOptimize_1.0,0.471,0.686,0.041
div,8,nDCG,mf_30_1.0_avg_div_group_8_pref_FuzzyDHondt_1.0,0.483,0.7,0.043
random,2,AR,mf_30_1.0_avg_random_group_2_GFAR_1.0,2.148,-0.023,0.203
random,2,AR,mf_30_1.0_avg_random_group_2_pref_AVG,2.322,0.667,0.147
random,2,AR,mf_30_1.0_avg_random_group_2_pref_FuzzyDHondtDirectOptimize_1.0,2.166,0.937,0.042
random,2,AR,mf_30_1.0_avg_random_group_2_pref_FuzzyDHondt_1.0,2.343,0.72,0.125
random,2,nDCG,mf_30_1.0_avg_random_group_2_GFAR_1.0,0.68,-0.02,0.183
random,2,nDCG,mf_30_1.0_avg_random_group_2_pref_AVG,0.716,0.841,0.096
random,2,nDCG,mf_30_1.0_avg_random_group_2_pref_FuzzyDHondtDirectOptimize_1.0,0.702,0.914,0.075
random,2,nDCG,mf_30_1.0_avg_random_group_2_pref_FuzzyDHondt_1.0,0.736,0.95,0.09
random,3,AR,mf_30_1.0_avg_random_group_3_GFAR_1.0,1.82,-0.003,0.16
random,3,AR,mf_30_1.0_avg_random_group_3_pref_AVG,2.036,0.623,0.124
random,3,AR,mf_30_1.0_avg_random_group_3_pref_FuzzyDHondtDirectOptimize_1.0,1.912,0.848,0.062
random,3,AR,mf_30_1.0_avg_random_group_3_pref_FuzzyDHondt_1.0,2.053,0.678,0.107
random,3,nDCG,mf_30_1.0_avg_random_group_3_GFAR_1.0,0.577,0.006,0.148
random,3,nDCG,mf_30_1.0_avg_random_group_3_pref_AVG,0.617,0.81,0.085
random,3,nDCG,mf_30_1.0_avg_random_group_3_pref_FuzzyDHondtDirectOptimize_1.0,0.612,0.902,0.07
random,3,nDCG,mf_30_1.0_avg_random_group_3_pref_FuzzyDHondt_1.0,0.637,0.912,0.082
random,4,AR,mf_30_1.0_avg_random_group_4_GFAR_1.0,1.638,0.002,0.123
random,4,AR,mf_30_1.0_avg_random_group_4_pref_AVG,1.857,0.589,0.097
random,4,AR,mf_30_1.0_avg_random_group_4_pref_FuzzyDHondtDirectOptimize_1.0,1.762,0.777,0.057
random,4,AR,mf_30_1.0_avg_random_group_4_pref_FuzzyDHondt_1.0,1.871,0.638,0.085
random,4,nDCG,mf_30_1.0_avg_random_group_4_GFAR_1.0,0.522,-0.019,0.118
random,4,nDCG,mf_30_1.0_avg_random_group_4_pref_AVG,0.561,0.765,0.071
random,4,nDCG,mf_30_1.0_avg_random_group_4_pref_FuzzyDHondtDirectOptimize_1.0,0.561,0.867,0.06
random,4,nDCG,mf_30_1.0_avg_random_group_4_pref_FuzzyDHondt_1.0,0.58,0.865,0.069
random,8,AR,mf_30_1.0_avg_random_group_8_GFAR_1.0,1.435,-0.005,0.067
random,8,AR,mf_30_1.0_avg_random_group_8_pref_AVG,1.576,0.482,0.055
random,8,AR,mf_30_1.0_avg_random_group_8_pref_FuzzyDHondtDirectOptimize_1.0,1.516,0.591,0.04
random,8,AR,mf_30_1.0_avg_random_group_8_pref_FuzzyDHondt_1.0,1.579,0.513,0.05
random,8,nDCG,mf_30_1.0_avg_random_group_8_GFAR_1.0,0.455,0.003,0.065
random,8,nDCG,mf_30_1.0_avg_random_group_8_pref_AVG,0.476,0.642,0.044
random,8,nDCG,mf_30_1.0_avg_random_group_8_pref_FuzzyDHondtDirectOptimize_1.0,0.476,0.706,0.041
random,8,nDCG,mf_30_1.0_avg_random_group_8_pref_FuzzyDHondt_1.0,0.488,0.718,0.043
